"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.6852482681195 0.00713071285615194 0.210409039124041 4.25455216998851 4.5302294904428 4.71465557762927 4.85563971938439 4.98289098577007 870.688662490767 1.00295010583879
"r_lock_1" 0.185926145075334 0.00035457533188809 0.0102076091882297 0.171479336652792 0.177777259641706 0.184018371042285 0.192644508196349 0.208140581253735 828.764294490625 1.00291973109364
"m_lock_1" 0.161847178798919 0.000275503103644103 0.00853201315667605 0.14740224106007 0.155909533557763 0.161031970221129 0.166916463066185 0.180929184970854 959.069415242642 1.00242714009299
"shift_lock_1" 0.659303645862264 0.0151222368340058 0.599016643540887 0.0238059240950321 0.207311006793425 0.490023438413679 0.954085921936933 2.20433715250362 1569.08224392779 1.0006234988216
"gamma_s" 0.608768606083034 0.00319316538498275 0.111724968635992 0.416160210706493 0.526776596809914 0.597628460883507 0.686994677715704 0.841591622720516 1224.21488975004 1.0002073458821
"gamma_H" 0.282013441595132 0.00277338248234549 0.0726959169983827 0.181237344265171 0.231651801451614 0.268146853124024 0.318618712859932 0.454058109018189 687.06923455382 1.00663273852572
"gamma_ICU" 0.169699883464358 0.00128171652514889 0.0412886671306845 0.111052528203692 0.140877364150777 0.162288516064557 0.18904521765338 0.265689001933132 1037.71419909369 1.00399603142821
"eps_H_ICU" 0.116938787702464 0.00118741966117948 0.0338240128639685 0.0693117976236198 0.0937065185981275 0.109377194267852 0.133814495363227 0.204417834590876 811.412680216668 1.00428520545594
"eps_H_x" 0.031168899815793 0.000245746881226598 0.00632343356709244 0.0212562197623612 0.0269383729538125 0.0302971877585723 0.0344547325975795 0.046088033470913 662.109609090722 1.00771210600445
"eps_ICU_x" 0.0497158236780712 0.000782991160565549 0.029586500348115 0.00775292813017513 0.0268523124971615 0.0451100201967195 0.0667954132980949 0.119252608481096 1427.82005127169 1.00040115164038
"r_d_s" 0.184502497771821 0.00280480841816835 0.0933824889648548 0.0539638795461061 0.114885905350541 0.168972295065405 0.234818964174048 0.400890368785685 1108.47138397416 0.999177604893029
"r_d_a" 0.105431922659501 0.00233931603996793 0.0718749190702685 0.0146853535302898 0.0523716862996995 0.0895766007759209 0.139826287474511 0.290462177900621 944.010750395271 1.00189734911179
