"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.36109520475137 0.0137572970694622 0.365305313291002 3.62055924528781 4.09946740781144 4.38013086250816 4.65147356666616 4.95559359243903 705.091935162591 1.00280891473268
"r_lock_1" 0.201018941833753 0.000749372335266721 0.0202530497932597 0.171684329703189 0.185606091682053 0.198134578404633 0.214153029273679 0.24562102506964 730.441683356064 1.00202868216343
"m_lock_1" 0.157489030791693 0.000441495976854274 0.00972511109422966 0.141057198544058 0.150943083055176 0.156072159935864 0.163109157238637 0.180133909201834 485.216590147873 0.999795442529607
"shift_lock_1" 1.02770750160285 0.0321649997352594 0.842504611203398 0.0369374768867321 0.362438133377573 0.82222155854359 1.49773625403739 3.08865174633607 686.084280214776 1.00875519221883
"gamma_s" 0.642263156672764 0.00397353620407063 0.120690087765208 0.420320935604527 0.556353722471845 0.642288688899592 0.727961045083709 0.878389226619972 922.547757456767 1.0005303866116
"gamma_H" 0.325082603920162 0.00573307097435719 0.0844163281766578 0.200418129396578 0.262913611530931 0.310915162290364 0.369955502098394 0.532792257133501 216.809485683973 1.01874881582637
"gamma_ICU" 0.173231805570418 0.00197171240585709 0.0415146945450282 0.113739667465881 0.145399052634556 0.167327919101272 0.192908569368992 0.277934000128867 443.319215148543 1.01513089856466
"eps_H_ICU" 0.109293249327012 0.00162181547732757 0.0304245204632437 0.0669727106094491 0.0889969515404479 0.104300105909478 0.122739448492894 0.185441461728009 351.920529407939 1.01884954430714
"eps_H_x" 0.0288823037857027 0.000293646897663715 0.00529454933210418 0.0203964000886174 0.0252076588368919 0.0281082927764507 0.031857951950416 0.042102624144961 325.092660374381 1.01121325220444
"eps_ICU_x" 0.0482550413564436 0.00122002349173155 0.0293174447984873 0.00766524346645387 0.0259484841172099 0.0430505223685367 0.0644930072023719 0.116345482605684 577.451941514012 1.01234857171751
"r_d_s" 0.213759199042984 0.00373675154909638 0.0993738479990003 0.0655941038283591 0.140462670906516 0.19696612822468 0.273961001556008 0.438533581824248 707.222009172877 0.997965433093266
"r_d_a" 0.0893984572235864 0.00269497448522147 0.0675262214939625 0.0105090843279059 0.0403118535601401 0.0720983985147846 0.119045043596939 0.265251942976566 627.820629787075 1.00631282555614
