"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.42733030226445 0.017945663399358 0.35029255664821 3.72555317236577 4.16411738674054 4.45449546908576 4.71383253018131 4.96700521252166 381.015622472853 1.00611808096372
"r_lock_1" 0.202190199728134 0.000905407075220891 0.0185495484864599 0.175697997447499 0.18718194927297 0.19955027533926 0.215211178540104 0.243346308411727 419.738608111805 1.00838046362625
"m_lock_1" 0.169153543000744 0.00097465673195728 0.0123762542291893 0.150609863586177 0.160778345348232 0.167067970786653 0.174887985711996 0.207209143284712 161.24084677376 1.02321554005823
"shift_lock_1" 1.21223282598517 0.101995599022754 1.11931570612634 0.0372475854046814 0.394952487974495 0.914277430709489 1.66955154385496 5.17391922573457 120.432119524041 1.02061042119522
"gamma_s" 0.636966779937611 0.00349099572388984 0.117201226503606 0.428716497208577 0.552223377384804 0.633684387030978 0.716804034432262 0.876225201573339 1127.10838178992 1.00428838847921
"gamma_H" 0.325834919067494 0.00293411472904887 0.0784461260767394 0.20935090407006 0.271835500811653 0.312178823696108 0.36855886704539 0.509567007055072 714.807038353712 1.00252962347323
"gamma_ICU" 0.171468319891357 0.00132811497225353 0.0378715813654492 0.113481230312275 0.144353305253927 0.16612945620103 0.192719030827187 0.257401677784931 813.121668382004 1.00902637366302
"eps_H_ICU" 0.106133362848409 0.000948461690609198 0.0269791393026283 0.0670431980180544 0.0869354364368808 0.101958004611831 0.12133713808583 0.169990408590172 809.126813084418 1.00700954808161
"eps_H_x" 0.0285942023829008 0.000262231177532221 0.00500328978923636 0.019367921905488 0.025596477382688 0.0280325169250576 0.0310176694269264 0.0407590828233503 364.034601576818 1.00875847466538
"eps_ICU_x" 0.0455707536379224 0.00130772419200943 0.0276343575255873 0.00659997550505091 0.0246968832780931 0.0406415426020638 0.0616369135679163 0.10492740534071 446.546231090307 1.01083240192696
"r_d_s" 0.21624001713744 0.00729692994734618 0.106557759115518 0.0557960065013056 0.136746365190915 0.198975226517741 0.27809541644606 0.481633422104244 213.250375117981 1.01820985383418
"r_d_a" 0.0811521960196933 0.00188567060037814 0.0578219182818982 0.00841256147012843 0.0383151833184866 0.0680424884491747 0.110002861989139 0.22792337103405 940.271626653856 1.00391206625891
