"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 3.37105352532463 0.403539398114106 0.572028761820098 2.9795307769505 3.01863091166239 3.05143590317931 3.52546906899748 4.35951538294018 2.00938820133736 16.1199972378422
"r_lock_1" 0.283190353484232 0.0309192716828607 0.0439111779787897 0.207485825923519 0.266902235369181 0.306904802833455 0.310878194323062 0.315790631899125 2.01693389710676 11.3581543432327
"m_lock_1" 0.207583864592924 0.0224862412050672 0.033657412231879 0.165910513433073 0.183292172999399 0.194569012660085 0.261680372607993 0.262036543574042 2.24041109151936 2.9682892944124
"m_relax_1" 0.348681735270972 0.159184877642097 0.230596857975856 0.115912723814212 0.186887461720311 0.241864322589093 0.509472824101456 0.7366148576273 2.0984718853385 4.49377815130311
"shift_lock_1" 2.41149087369057 0.874686749920478 1.40805012068257 0.317192055027006 0.751130456109115 2.70882232054261 3.44641768024458 4.67899170845845 2.5913801804496 2.05782178831136
"gamma_s" 0.790858608762435 0.0465018280772704 0.0928600930466921 0.668614807836258 0.68182542269435 0.796712276017373 0.869274638358457 0.948481414545491 3.98766050198737 1.40957868569431
"gamma_H" 0.341897547996186 0.191035647828144 0.272978693672773 0.132955109833844 0.163811097554156 0.189896202346979 0.655461530543761 0.808952202999967 2.04187274096207 6.93902161629599
"gamma_ICU" 0.497040818486833 0.0797718456822567 0.166166025375763 0.288161219358767 0.307212242347473 0.49680314732298 0.622636979826766 0.822430704323815 4.33895536746019 1.37256299384209
"eps_H_ICU" 0.452064791579806 0.1454562430598 0.217247372067879 0.173354478861597 0.295872349998563 0.370494963677113 0.664909350283521 0.804686235790212 2.23071625090558 3.04140906043688
"k_epsx" 51.7026596653041 20.7343552838112 29.492691203482 0.967584857374116 41.7923805637602 66.9117081389224 70.1610865365866 76.3052848731988 2.02324155116822 9.34055684773977
"eps_ICU_x" 0.308985323240198 0.114144376367492 0.17016087170601 0.134921605712028 0.180281620627648 0.227470994947411 0.585685746179469 0.585848063691954 2.22233928821947 3.10226625923643
"r_d_s" 0.245614608548811 0.0193679901193782 0.0980565294067026 0.0692897934721469 0.167993283405819 0.260316440863255 0.300701371705347 0.457316592961792 25.6320844894466 1.06465405995537
"r_d_a" 0.0945583068133884 0.092980460169332 0.132265432312036 0.00190091348145163 0.00865513748134484 0.0200321601578988 0.194455621035638 0.32209306218956 2.02352851674719 9.22223146461205
