"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.49452119534164 0.0144502669056234 0.314062181869711 3.8368823779064 4.27647521626514 4.51793379908578 4.74176833753905 4.98209212450459 472.366999485197 1.00688661611224
"r_lock_1" 0.195877789115247 0.000744975697792782 0.0165932412818048 0.172257819436054 0.183033402912735 0.193596746394926 0.206159314107867 0.232923531208288 496.110301771037 1.00594021322215
"m_lock_1" 0.169910571378392 0.000334018580797434 0.00916046948649179 0.153574405328373 0.16313106787848 0.169360168291001 0.175813799250417 0.188731533466407 752.132252037612 0.999140803513026
"m_relax_1" 0.177318358478126 0.000974389975993142 0.0267716571615425 0.129723402841548 0.158478619150256 0.176099947821136 0.194132769210455 0.2346940373974 754.892124422088 1.00321830713186
"shift_lock_1" 0.638248809932148 0.0197478943010966 0.596748831539431 0.018749759934457 0.185230050852924 0.45428908494846 0.92483871075082 2.18323076554275 913.148829087857 1.00056657322338
"gamma_s" 0.639034731583877 0.00366342599388282 0.114823545239762 0.442489807082272 0.552488942483728 0.633560601689902 0.723032615707674 0.875300962297718 982.397069673333 1.00362312999237
"gamma_H" 0.214843517129974 0.00204422735538305 0.0451175359797692 0.153591192627907 0.182981976931035 0.206871884158 0.235239210855031 0.335009079011303 487.115955846458 1.0089040000553
"gamma_ICU" 0.154590470791737 0.000893516619343587 0.032079067873542 0.105018109285525 0.13259377550245 0.149715823377382 0.172263191084255 0.232745040327949 1288.95635282351 1.00169537542238
"eps_H_ICU" 0.152450984101711 0.0015923710619493 0.0430557746826223 0.0886951960127649 0.122102399999306 0.145439285704518 0.176030147630554 0.253329136618145 731.095754982646 1.00334699987706
"eps_H_x" 0.0423327572759776 0.000444432669772594 0.0101460271427627 0.0255693447132816 0.035267661198888 0.0409205328414246 0.0479192425832205 0.0652104181599818 521.170814985409 1.01203760312934
"eps_ICU_x" 0.0519706279883893 0.000965699036691788 0.0321208896408886 0.00749190978915878 0.028096579432065 0.0465737325008269 0.0713223790044077 0.126466334198093 1106.34743721404 0.999382801262497
"r_d_s" 0.12429760416298 0.00283410374841154 0.0643639489347919 0.0353610441993019 0.0756550997246947 0.114016587312485 0.157051413991288 0.276062862799816 515.767383304555 1.00942226000777
"r_d_a" 0.180599381520586 0.00330526674747481 0.0891884290012825 0.0443300900047801 0.113899855526905 0.165391271929023 0.235542697383991 0.384181848887869 728.121742014111 1.00005044260502
