"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.25781236406969 0.0151521880328385 0.366497060487346 3.54932983878346 3.99052453657837 4.2481058298104 4.52928830461355 4.91276720896344 585.046370158326 1.01194014841498
"r_lock_1" 0.207756596198115 0.000871295504263452 0.0210653231310711 0.174170587888038 0.191909611383966 0.206488197304192 0.221851672273758 0.253500163044742 584.527979670547 1.01494353744818
"m_lock_1" 0.170705081621843 0.000291177476647496 0.00883543692817715 0.15477684588252 0.164773785014453 0.170088430734166 0.176060984346842 0.189828328447828 920.747409843769 1.00856287175929
"m_relax_1" 0.120764574973269 0.000744058097472601 0.0188546709612161 0.100899004193643 0.108164097936772 0.116223247189301 0.127778092691613 0.167339127972423 642.13186352047 1.00095703265367
"shift_lock_1" 0.749686751930723 0.0227116920848701 0.655035408669601 0.0177596944380342 0.238268504246183 0.584210708525988 1.0688973227304 2.4910281763893 831.822322242717 1.00037810673772
"gamma_s" 0.657026660373431 0.00474683110362337 0.117550702841478 0.43784114172288 0.569175806080561 0.653680072515641 0.737986080476102 0.884207035958669 613.257546886448 1.0128024460013
"gamma_H" 0.194705817480527 0.00148607308215874 0.0364434924188155 0.142805351314757 0.17015164213788 0.187136748633248 0.210778598556803 0.292355534669283 601.394764513496 1.00890195460781
"gamma_ICU" 0.138557070884339 0.000896689509175395 0.0306371076550911 0.0912334372343118 0.117289766272077 0.13298159976759 0.154963435916513 0.211858713322614 1167.37757869677 0.999575016293773
"eps_H_ICU" 0.188421848751951 0.00214782025847126 0.0571304770613536 0.10370584980342 0.147670160933106 0.178537923328798 0.220870112877081 0.325880506090022 707.521810865351 1.00726232422945
"eps_H_x" 0.0552736181648299 0.000729199735123897 0.0153670572027079 0.0313855291923236 0.0448083612966234 0.0530873221121824 0.0635732742909403 0.0914630231230886 444.107810699808 1.01885975349955
"eps_ICU_x" 0.0508509850192546 0.000959006877822357 0.0320719146943722 0.00765587342674282 0.0267069521859584 0.0448518842797366 0.068107334744611 0.127669321227543 1118.42362541175 1.00158062598786
"r_d_s" 0.0852264422443389 0.00162318506219792 0.0457154359914048 0.0260991111817533 0.0525205969384245 0.0751608715050092 0.107107025667867 0.2080297999376 793.212697030532 1.01475941802146
"r_d_a" 0.206472803098578 0.00273083759834162 0.0943396059765337 0.0656155974407881 0.135377427727818 0.191901722670005 0.262315936701508 0.430014512360967 1193.42840075777 1.00041318762842
