"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.1404173318663 0.0274788248182203 0.543458426797709 2.95161035759793 3.77545229291173 4.20143205124776 4.58147598582513 4.94695367356158 391.143703695466 1.00160893680204
"r_lock_1" 0.209558084581843 0.00318368851066766 0.0432642623698784 0.158214577261868 0.176856317058265 0.198566514950189 0.231484580148725 0.311192444861031 184.670475316599 1.00744722811775
"gamma_s" 0.387642897326805 0.00367145088000244 0.121421260808442 0.210023987532169 0.298660832570002 0.36650453256353 0.453317706437515 0.684067340893003 1093.73984038091 0.999727883963581
"gamma_H" 0.164077579272502 0.00259162932729559 0.038154492629867 0.118658099589305 0.140194916554496 0.155569225609024 0.178081890553137 0.261949110278037 216.74325631814 1.01669687797356
"gamma_ICU" 0.174176328993731 0.00128959403925002 0.042534595635745 0.11307052045036 0.145221687647391 0.167198618076284 0.196060644209589 0.273908087631073 1087.87396350333 1.00386440818947
"eps_H_ICU" 0.189583213779003 0.0024693128688605 0.0614816028784835 0.098621487736877 0.145882634178361 0.179513186499627 0.223441682911935 0.332115492316571 619.923533495909 1.00559903782
"eps_H_x" 0.0434335829234339 0.000422193479084705 0.0112587253937641 0.0251823898702976 0.035537288687793 0.0422667443219987 0.050323660028962 0.0696074032868139 711.140496763158 1.01025851240298
"eps_ICU_x" 0.101771912777878 0.00195964047364727 0.0559522423310429 0.0167354960055074 0.0606291984719151 0.0946541376098352 0.136436572463289 0.227013039661474 815.233824663213 1.00048519786191
"r_d_s" 0.0750497487228764 0.00288553126149462 0.0553367031417883 0.00435850684669648 0.0349127669502162 0.0660172770541553 0.105615808186564 0.204278481379428 367.768894848018 1.00710658579179
"r_d_a" 0.144611781390865 0.00560072179983114 0.0966845003517579 0.00246395370362577 0.0719736977547245 0.138473527039221 0.203717382955428 0.352953617965373 298.006483465542 1.00973095236478
