"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.21756857692185 0.0179502829757783 0.428450396971581 3.35739983261463 3.90664062127096 4.22985695472939 4.55986389971558 4.93457113297687 569.716110117466 1.00126957793476
"r_lock_1" 0.205687206467441 0.00110733635499852 0.0259754231236653 0.166997156696574 0.185543436315366 0.201833016727873 0.222762324184546 0.263655348633913 550.257720065843 1.0012720144746
"m_lock_1" 0.167705879372448 0.00034670683270481 0.0110198527649912 0.148376700279879 0.160047129198958 0.166928642917758 0.174447193272501 0.191646673438092 1010.24517021348 1.00071640628905
"m_relax_1" 0.200851932046998 0.00586544130407175 0.119798379822304 0.104601517449286 0.133440704779388 0.167067596271925 0.221221743611107 0.512600607752847 417.157929228562 1.01479464602873
"shift_lock_1" 1.05094887819172 0.024333764605359 0.840862100677742 0.0460185242872768 0.366737752856043 0.860639709153239 1.54114077408211 3.11995941679232 1194.0732017612 1.00019909661273
"gamma_s" 0.61308050498416 0.00449416859020365 0.127535523205926 0.373545085589217 0.522907274065915 0.60877213791543 0.70486179562905 0.857170317625383 805.310971809717 1.0012931634178
"gamma_H" 0.171680497649909 0.00119025381069444 0.0303003810036358 0.126612275642381 0.150206520641459 0.166858475703164 0.188232619033973 0.240138370505812 648.062687906314 1.00316088296857
"gamma_ICU" 0.144850430094634 0.000833904144182451 0.0305443199924165 0.0992840914462502 0.123477098339147 0.140535332600776 0.161010439250184 0.211143293830897 1341.61732386277 1.0001043805341
"eps_H_ICU" 0.231082970479863 0.00324211879874839 0.0810571790813679 0.120050146134814 0.174263871361624 0.215275998102382 0.269104700117936 0.427911236188615 625.064914677869 1.00534957334789
"eps_H_x" 0.0653996346051268 0.000902508176160466 0.0211823097435172 0.0362255142723124 0.0504827683772567 0.0613554712525158 0.0754948133455634 0.115594253368469 550.863933088638 1.0039233534191
"eps_ICU_x" 0.0678443579756528 0.00114604775449485 0.0413002148559499 0.00961910881222401 0.0363911469103419 0.0608737507174724 0.0918213634202601 0.166057453745092 1298.67115023357 1.00259433469479
"r_d_s" 0.0597389267745132 0.00158495976336893 0.0390859352156942 0.0102811407132202 0.0301547314642778 0.0506890113916771 0.0805142747177588 0.152935579701051 608.141348487153 1.00259353069775
"r_d_a" 0.194269377034615 0.00309984954260566 0.100836224560319 0.0423791465658821 0.119365671432755 0.180054510201574 0.253710830367077 0.425953211723797 1058.16142045033 1.00210593841749
