"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.23729519344783 0.017050880223826 0.420053480159837 3.44005364325843 3.91646774609096 4.25286757491364 4.57545687626225 4.94285924683731 606.897805497699 1.00666029020886
"r_lock_1" 0.20541993935887 0.0010512789092657 0.0252328391560614 0.166879835320259 0.185789859421359 0.202328134028809 0.222250422988634 0.25925928664421 576.097957253701 1.00458135299406
"m_lock_1" 0.167680284353635 0.000358063492563963 0.0121294422023633 0.146774050243847 0.15943952603275 0.166580760110573 0.174210466721727 0.194530474585687 1147.52345684133 1.0025706490269
"m_relax_1" 0.195278247490537 0.00517427576214206 0.103551621974178 0.103446964182868 0.135528192144504 0.166258007363633 0.224653729288389 0.422874685589653 400.51120465105 1.00958929309502
"shift_lock_1" 1.03343784923467 0.0253719957284393 0.89226474982749 0.0276351304244301 0.346022261193231 0.806343945946587 1.46428595182108 3.22418485057484 1236.73944515864 1.00229462338955
"gamma_s" 0.621230227637076 0.00459909757074367 0.128516054394152 0.391753996631336 0.525260260526921 0.614059807741209 0.712721595827137 0.88864027608297 780.853427170328 1.00032108059952
"gamma_H" 0.181039054849556 0.00138171872445624 0.0359916253505815 0.129732215787187 0.156275042589456 0.174349090871343 0.19866943484274 0.264711379608327 678.521530320063 1.00758573079072
"gamma_ICU" 0.149127034028959 0.00130550116613764 0.0349012798522251 0.0988777960298468 0.125283750337663 0.143873242879688 0.165244498291848 0.233560030698625 714.707234230114 1.00372558462096
"eps_H_ICU" 0.210076467411938 0.00314921972638304 0.076978546572327 0.109251130262031 0.155220680793156 0.195569802501738 0.245787517325694 0.414396220088971 597.493916218088 1.00605479176028
"eps_H_x" 0.0581380015804068 0.000695729175989957 0.0180543153609306 0.0320703558653053 0.0454618340773956 0.0551732947492023 0.0679565397629645 0.0998136920652657 673.413185756604 1.00630257573462
"eps_ICU_x" 0.0671658367769155 0.00113922965937887 0.0394383005352352 0.0109899065633753 0.0379746093635882 0.0606031377862075 0.0888928808672311 0.158613489975579 1198.43316244251 1.00116123978625
"r_d_s" 0.0681587185730092 0.00181207933733349 0.046214247941289 0.0114065902081956 0.0351343388755865 0.057740600850845 0.088929083100176 0.185573859564928 650.425206559952 1.00406158890286
"r_d_a" 0.183933502630052 0.00329851602347753 0.0989372045309339 0.0327943861500819 0.1097607214185 0.170708025111785 0.242878003660921 0.4117232878218 899.667587141475 1.00138262197998
