"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 2.60272323729307 0.00349463553450343 0.0542050291347748 2.55057088144272 2.56830721290138 2.58414398288102 2.61770556589266 2.75924596548533 240.588789533263 1.01737437759089
"r_lock_1" 0.364858013896669 0.000211667392873537 0.00382584249587554 0.355078145960744 0.363153666482565 0.365488907346665 0.367348937246439 0.370622546845832 326.697831990511 1.01160035818181
"m_lock_1" 0.206731115861439 0.00039913033077284 0.0154971090674939 0.180677445837267 0.195531461519206 0.205448279568184 0.216072184181606 0.240030414335505 1507.55065991284 0.998568085962841
"m_relax_1" 0.279975420195657 0.00160820340229771 0.0588260508980059 0.177735015016525 0.238510518892211 0.275314580601367 0.316926905422215 0.409064661782258 1338.00407342924 1.00150469026245
"shift_lock_1" 5.06000201605139 0.0236801965646622 0.695605377435151 3.64086321676426 4.61588434923709 5.04516019411096 5.52894654763428 6.4107197159488 862.889640916668 1.00353891255997
"gamma_s" 0.863964300310223 0.00165662855864366 0.0639344466273419 0.718368174009436 0.827378525495388 0.871374017662169 0.911215063482871 0.964850791086561 1489.42806653017 1.00077080160736
"gamma_H" 0.295086950725163 0.00386373990720103 0.0987812920721603 0.18104783767475 0.228463457171768 0.268389313881338 0.330855100037193 0.560264902124411 653.632499462153 1.00451594406676
"gamma_ICU" 0.447756065253879 0.00581769029369805 0.142429860656979 0.237462461409695 0.340029257595215 0.422675029199128 0.534675482916033 0.773261704408688 599.378145023419 1.00397667724735
"eps_H_ICU" 0.301611277407338 0.00392138149576686 0.0968940140746622 0.157872277280006 0.229095609718956 0.28399072897388 0.361904075180832 0.522560485355678 610.542225901827 1.00373835955126
"k_epsx" 90.1357848456323 0.124534322787616 5.28192911460988 80.0739513969451 86.5761161448572 89.882332311542 93.4882323600036 101.43320114423 1798.89995197338 0.999861138344093
"eps_ICU_x" 0.205446721288027 0.00268076067424821 0.0667580755859713 0.106511799066579 0.155291324689569 0.197871027011878 0.245881061808023 0.352174641581319 620.142548903993 1.00453230165759
"r_d_s" 0.164861689760903 0.0046883878109971 0.107102515139984 0.0280408354699441 0.0768962230292804 0.142337480164803 0.229613675468307 0.421721827167808 521.857924912197 1.00256414018498
"r_d_a" 0.0118130492741784 0.000373713813636244 0.0122902421526797 0.000829651394153296 0.00345043144474515 0.00755890739863121 0.0159249830765535 0.0478068994047149 1081.53997856555 1.00154014684162
