"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 3.9552873514405 0.016863259900217 0.560542307444368 2.86098812877275 3.52014074907842 3.98302109902193 4.38518703590843 4.9256241667753 1104.92735809134 0.999365728174654
"r_lock_1" 0.319511169131107 0.0032628300739791 0.043024862700656 0.249597196219332 0.293348653188077 0.315232180339685 0.347927554741649 0.40738631446319 173.880176748207 1.02145186609127
"gamma_s" 0.483521006758873 0.00400366499621352 0.148244404480052 0.237648151246105 0.371536868839311 0.473262304637909 0.578761040951793 0.808515807175254 1371.01168892231 1.00271354793777
"gamma_H" 0.288888228197248 0.00362535438945683 0.0827570712929027 0.16231001054221 0.232045873225577 0.275348316559306 0.328969085105743 0.488441329618564 521.085865043978 1.01290454708961
"gamma_ICU" 0.180607096918455 0.00158689957770202 0.0544797079936308 0.1025494471589 0.143838794546969 0.171397900447037 0.205353575978523 0.311689642281916 1178.61144254423 1.00014542753618
"eps_H_ICU" 0.116686857720503 0.0025411393988763 0.0432249889199512 0.0633480430025955 0.0881916197462864 0.106911560679212 0.134626979930705 0.230783762040466 289.342881234319 1.01010373808635
"eps_H_x" 0.0307879338775467 0.000460047428263854 0.00683510286890983 0.0202087952280829 0.0263756128164007 0.0297870431989711 0.0339627700965845 0.0464029864620781 220.741960665008 1.01589873069101
"eps_ICU_x" 0.0585191401128827 0.00194970414658723 0.0395447380165665 0.00667295390073689 0.0299620158716635 0.0510488931822045 0.0774729809006768 0.162617594349207 411.376969673893 1.00801738703833
"r_d_s" 0.00498378796368627 0.00168122436584041 0.0107184162554149 0.00230457086906264 0.00313065971753139 0.00355562210006505 0.00407961295997665 0.00619584812909828 40.6452582260762 1.07071816681876
"r_d_a" 0.00533305409723199 0.00437439119380087 0.0266621015183541 0.000286483661410674 0.000974431814572181 0.00158322862358252 0.00239347325325004 0.0105813901677784 37.1495466452002 1.0777505586421
