"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 3.93455146247695 0.0247605891645827 0.554929303914578 2.84686582525275 3.54563326712053 3.94525021181683 4.34296721598986 4.91439397309429 502.288655554043 1.00336417829485
"r_lock_1" 0.329694129374099 0.00165800834190198 0.0381531630151797 0.270263768085517 0.301821768705354 0.324230101380377 0.351945748553748 0.41823184184283 529.526469025721 1.00192479928923
"gamma_s" 0.515202760989379 0.00610822679655196 0.154036536229083 0.25892614459107 0.39707466962181 0.503069832725374 0.623522111790397 0.83601043943736 635.941520087574 1.00123525860451
"gamma_H" 0.280357659679043 0.00335407194300044 0.084660418249368 0.16482377468897 0.221127628152641 0.26352067955015 0.324064993277945 0.503221367099742 637.112420742179 1.00600093321841
"gamma_ICU" 0.192210821204591 0.00308710612068482 0.0730940641491222 0.0982066821758477 0.143560440117712 0.178545241678195 0.223117917788821 0.377938672914894 560.610338383094 1.00127588272897
"eps_H_ICU" 0.126339383348028 0.00221257460751952 0.0514720305599726 0.0621730221124005 0.091160055198146 0.115017600513069 0.148280236988437 0.25838427095797 541.186251339677 1.0050252160284
"eps_H_x" 0.0311929274811947 0.000252562012984639 0.00734141609854557 0.019036656390955 0.0263206870173642 0.0302293511019504 0.0355064665023558 0.0479363629454407 844.935619770422 1.0030109613775
"eps_ICU_x" 0.069259737728517 0.00134402758800292 0.0437092906647566 0.00984684596969069 0.0381277268327004 0.0597454145635022 0.0929603695144413 0.17113059658418 1057.62364249439 0.99802358259638
"r_d_s" 0.00322224987937157 2.89974931850616e-05 0.000658826082257899 0.00206509649016966 0.00277455036093203 0.00317611717953426 0.0036126189216167 0.00465196137372855 516.203159233382 1.00328164036408
"r_d_a" 0.00189177445536395 3.84143264655259e-05 0.00106520848935523 0.000274907120494969 0.00112245400215608 0.00173176187003841 0.00253424595022234 0.00420383062432498 768.92289443577 1.00524839799237
