"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 3.02922917385249 0.00130599826636917 0.0380950601749216 2.9714088415992 3.00329436250196 3.02376271115646 3.0475334443365 3.12253644897478 850.848283324662 1.00395878535275
"r_lock_1" 0.308875970176367 0.000137727401707531 0.00429176833187766 0.298428942338808 0.306449467848191 0.309278121226664 0.311753533435805 0.315925570772786 971.028178409009 1.00356885835804
"m_lock_1" 0.184713075286925 0.000348184733139268 0.0126617762723809 0.16324622174278 0.175374231661889 0.184209732106592 0.192819515109174 0.210339750455222 1322.42125694775 1.001290819715
"m_relax_1" 0.228500524796677 0.00142457287359809 0.0602572262178039 0.124220925476983 0.184791126030784 0.224114541346972 0.266211653109539 0.357719615539071 1789.15897647653 1.00024698692813
"shift_lock_1" 3.02555189000948 0.0249573799888382 0.82020949235294 1.5443815620334 2.4657140135409 2.97747529308734 3.58277084426892 4.71408530624394 1080.06924415934 1.00158384655904
"gamma_s" 0.835003704802165 0.00200988158414641 0.0751281499036145 0.67139772002075 0.785446761532448 0.843108163510948 0.892013636696375 0.955140197175823 1397.21888291671 1.0008468800841
"gamma_H" 0.220162814497083 0.00276715706437477 0.0715644078210966 0.147340752303746 0.17759380188179 0.201539138628695 0.239181279731403 0.408317818405614 668.846629566852 1.00476061321678
"gamma_ICU" 0.539172065637144 0.00609342106569719 0.156550757464145 0.253149165673728 0.428316157986465 0.537831723017235 0.654675134236442 0.843265236180198 660.066918662493 1.00346006616756
"eps_H_ICU" 0.324143417098947 0.0036077346951418 0.0959505317453331 0.153184366498082 0.256999219613724 0.32094053770975 0.394598764662321 0.506699015486824 707.33571277503 1.00279822544473
"k_epsx" 79.0462982685065 0.115606938535461 5.45270546894803 69.0603290281317 75.3026598360768 78.7394818734553 82.727868739288 90.1828527922807 2224.62225881453 0.999691116371512
"eps_ICU_x" 0.204013002652832 0.00289873856980582 0.0716707911115206 0.118867067191461 0.152059975701393 0.185885305534537 0.234423448479487 0.390716813987066 611.316753817691 1.00353083276784
"r_d_s" 0.229593489348229 0.00303713348274363 0.106446327784649 0.0711479099861934 0.149275696930441 0.211601320479842 0.293043840860288 0.471780026930232 1228.38246373525 1.0003701762797
"r_d_a" 0.0240031704833052 0.00048349092439649 0.0210658842479864 0.00204943613392677 0.00918977979480134 0.0180130161916628 0.0323582847113915 0.0798822335551501 1898.3781837506 0.99925679781211
