"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"R0" 4.37251036117683 0.196446208787211 0.456377336178245 3.40520211764614 4.03327397550323 4.41179849465449 4.78051190786304 4.95000735932306 5.3971045941045 1.30993290136225
"r_lock_1" 0.188496774761221 0.0188354988331146 0.0342159758115558 0.134802916648843 0.158199882325563 0.190144711394784 0.211227710952082 0.255891192109948 3.29992149123331 1.62948870145438
"m_lock_1" 0.196227194343647 0.0354387404790676 0.0643373809962439 0.147233283927377 0.161236233079977 0.170887738329154 0.203249761930063 0.321385033578162 3.295870955546 1.69963828750304
"m_relax_1" 0.221091213518983 0.0220590003993205 0.119367417792878 0.104453919680879 0.1409336035402 0.181185823753815 0.256423388714263 0.491169203395077 29.2819463871826 1.11751769249043
"shift_lock_1" 3.46642359655813 2.84453560337444 4.09848588027678 0.0297272740895702 0.562340946297772 1.4045640218882 6.32942836517675 11.0115475088084 2.07598465285623 5.14124211261103
"gamma_s" 0.508822495628936 0.120227049903423 0.203498997321443 0.201518958763952 0.295875475045924 0.541119759202606 0.660006084186931 0.849394125271561 2.86497057684583 1.82661724519705
"gamma_H" 0.184263245156438 0.0254148107539673 0.0439429077726973 0.125740923460113 0.148513333871571 0.169692549798863 0.234799596341211 0.264934763390072 2.98953624158917 1.72852568050359
"gamma_ICU" 0.352944871530945 0.264197322816401 0.374514843543032 0.094506625014744 0.123118410660254 0.145376494091993 0.474108523749257 0.999999999999978 2.00946869818436 15.9851938048237
"eps_H_ICU" 0.449735630100669 0.22598776565179 0.32821910490036 0.144351355056094 0.213978120823544 0.287610897220431 0.843133248185197 0.999999999999999 2.10939473140703 4.29857308854846
"eps_H_x" 0.0688315547866108 0.0122768720261884 0.0289836389996812 0.0340726207067337 0.0436390893238333 0.0637367534579524 0.08710117582473 0.136034176384159 5.57353029378386 1.27193514675511
"eps_ICU_x" 0.0587596968775622 0.015791277388087 0.0431858119255174 0.0127252522500098 0.0215867907553925 0.0465837089255782 0.084554327203019 0.162074428776829 7.47907095371032 1.20682865663242
"r_d_s" 0.0406457641927227 0.00936417454928421 0.0304440341424866 0.0105816013939039 0.0169531422300388 0.0311375728677014 0.0545813297656183 0.120726029201592 10.5697666599242 1.1745671949253
"r_d_a" 0.166354663977214 0.0528034301970445 0.112360693305616 0.0340822906145254 0.04891075512084 0.156399936753322 0.238798399921756 0.415186442259392 4.52798050887403 1.36913147612737
